epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.216,1.10121,3.21077,1.30019,0.1733,0.18938,0.11451,0.06884,1.22783,2.89322,1.3607,0.0676849,0.000999437,0.000999437
2,324.308,1.06611,2.53629,1.27296,0.32697,0.25529,0.22094,0.14102,1.25656,2.35488,1.33886,0.0351625,0.00181042,0.00181042
3,489.641,1.04103,2.2334,1.25695,0.37283,0.29789,0.24626,0.15391,1.29289,2.32242,1.39071,0.00199228,0.00197352,0.00197352
4,660.631,1.00103,2.04899,1.22927,0.44267,0.31987,0.30244,0.19411,1.23669,2.14692,1.3407,0.00105611,0.00105611,0.00105611
5,835.737,0.94785,1.92265,1.20949,0.53254,0.34131,0.34465,0.22381,1.20765,2.08515,1.31769,0.00031361,0.00031361,0.00031361
